2023年3月29日14:35:28 github仓库中,新建海尔项目包,新建开发日志文件
2023年5月26日11:18:53 相关性分析一批失败3/15
2023年5月31日10:27:29 这次用百雀羚的账号做测试,看不同的品牌在获取ws数据时的差异
2023年5月31日14:03:07 了解了一些组织目录的常用套路,也许能应用在百雀羚项目上
2023年5月31日15:26:11 目标是通过cmd运行唯一一个mian.py以及等待交互,将所有的事情完成
2023年6月1日11:43:20 准备精简现有的绝对路径设置
2023年6月1日14:26:56 数银画像基本可以通用,不用额外准备与品牌相关的配置
2023年6月5日11:36:11 海尔的各种计算流程和工具在百雀羚资源的校验下已经基本具备脱离人工值守的条件
2023年6月5日11:40:24 下一步是把selenium的刷新头机制和win警告机制作为子线程开出来
2023年6月5日11:43:41 数据工厂的配置功能也是把脚本穿起来的工具
2023年6月5日11:49:37 但本地不适合增加调度工具,所以是在主流程里做不同任务的开关,根据cmd的交互做不同的计算任务
2023年6月5日13:26:53 不会出现一个任务算完了算下一个任务,否则会浪费掉每日的计算资源
2023年6月5日16:28:16 p8中断太频繁了,得并发跑p4了
2023年6月5日16:46:05 神奇,竟然可以,需要改变串行任务的思路
2023年6月6日09:52:32 一个浏览器要策略中心验证码,在另一个浏览器登录数据银行后原浏览器再登又不需要了,费解
2023年6月6日14:48:20 最后计算的p6完成圈包
2023年6月25日14:02:27 开启新的远端映射,gitlab仓库中新开分支作为整个github仓库的镜像
2023年6月25日18:16:08 业务要全量的标签数据,有必要对websocket连接做心跳设定
2023年6月26日10:58:22 连接的关闭本地设置参数无效,要开子线程主动关闭
2023年6月26日16:17:15 多轮标签出现大量的error消息和缓存数据
2023年6月26日17:09:43 数银和策略中心的标签体系不能完全混用
2023年6月26日17:34:09 海尔项目统一要策略中心
2023年6月27日10:31:41 类目的授权数量也可走接口获取,但意义不大
2023年6月27日14:49:56 增加标签异常提示
2023年6月27日16:37:34 27标签的循环send已完成,下一步把所有标签结果合成一条数据库记录
2023年6月27日17:28:19 之前老报错误以为要标签分组循环,实际上一次性传90个标签也没问题
2023年6月27日18:29:55 数银不可以传超出UI限制的标签规则
2023年6月28日10:09:10 策略中心取画像功能基本实现,和数银的流程基本统一,等下次运行后抽成统一的函数
2023年6月28日17:58:41 品类偏好分析的取报告功能基本实现
2023年6月28日18:29:37 将取画像和取报告的类做拆分
2023年6月29日10:22:54 开始扩展相关性报告的接口,用海尔的资源试一试
2023年6月29日11:38:14 策略中心的不同报告消息模板基本一样
2023年6月29日14:47:26 相关性分析接口完成扩展
2023年6月30日15:41:33 重代码先拿海尔品牌空间试试调度效果,没问题再平移到卡萨帝品牌空间
2023年7月3日09:52:35 开始新一周期的调度
2023年7月3日15:08:43 算力已准备好
2023年7月3日15:32:18 继续修改业务脚本,切换成pycharm运行,方便重命名和多线程
2023年7月3日16:55:50 清理历史包
2023年7月3日18:04:59 重试机制已生效
2023年7月4日10:17:59 把p5取画像内容和圈包内容放一个py中
2023年7月4日13:55:45 测试表IO太频繁,试着在可执行py中指定跳过测试表
2023年7月4日16:25:56 数银最新周期调度已完成
2023年7月5日14:04:26 品类偏好分析存在数据量小无法分析的情况,需要扩展新的异常处理分支
2023年7月7日10:22:05 回到日常的生产
2023年7月11日11:31:07 百雀羚变更需求的开发
2023年7月11日16:52:21 两个驻留的浏览器老是掉一个
2023年7月11日17:25:37 百雀羚的老文件包还暂时移除不了
2023年7月13日14:56:08 增加品类偏好分析接口日期模式的参数
2023年7月24日09:51:36 maxc对数据帧的表头顺序有要求
2023年7月31日13:59:28 大于10M的东西不方便走git
